assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
GCF_006274605.1,PRJNA224116,SAMN11959431,na,reference genome,2586643,2586643,Thermococcus indicus,strain=IOH1,na,latest,Complete Genome,Major,Full,12/06/2019,ASM627460v1,Korea Institute of Ocean Science & Technology (KIOST),GCA_006274605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/274/605/GCF_006274605.1_ASM627460v1,na,assembly from type material,na,haploid,archaea,2234010,2234010,55,2,2,2,NCBI RefSeq,GCF_006274605.1-RS_2024_03_28,28/03/2024,2456,2365,52,na
GCF_023169545.1,PRJNA224116,SAMD00173595,na,reference genome,2586965,2586965,Nanobdella aerobiophila,strain=MJ1,na,latest,Complete Genome,Major,Full,22/02/2022,ASM2316954v1,RIKEN,GCA_023169545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/169/545/GCF_023169545.1_ASM2316954v1,na,assembly from type material,na,haploid,archaea,668961,668961,24.5,1,1,1,NCBI RefSeq,GCF_023169545.1-RS_2024_09_19,19/09/2024,772,723,46,35993221
GCF_031200575.1,PRJNA224116,SAMN37179810,na,na,2591003,2591003,Ferroplasma sp.,na,BR_04,latest,Complete Genome,Major,Full,06/09/2023,ASM3120057v1,Research Center of Biotechnology,GCA_031200575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/200/575/GCF_031200575.1_ASM3120057v1,derived from metagenome,na,na,haploid,archaea,1859113,1859113,38.5,1,1,1,NCBI RefSeq,GCF_031200575.1-RS_2024_09_23,23/09/2024,1991,1918,50,na
GCF_008000775.2,PRJNA224116,SAMN12405820,na,reference genome,2594042,2594042,Promethearchaeum syntrophicum,strain=MK-D1,na,latest,Complete Genome,Major,Full,26/07/2024,ASM800077v2,National Institute of Advanced Industrial Science and Technology,GCA_008000775.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/000/775/GCF_008000775.2_ASM800077v2,na,na,na,haploid,archaea,4324194,4324194,31,1,1,1,NCBI RefSeq,GCF_008000775.2-RS_2024_08_03,03/08/2024,3932,3868,49,31942073;38967634
GCF_008152015.1,PRJNA224116,SAMN12340929,na,reference genome,2598455,2598455,Thermococcus aciditolerans,strain=SY113,na,latest,Complete Genome,Major,Full,30/08/2019,ASM815201v1,"Institute of Deep-Sea Science and Engineering, CAS",GCA_008152015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/152/015/GCF_008152015.1_ASM815201v1,na,assembly from type material,na,haploid,archaea,2165038,2165038,55,1,1,1,NCBI RefSeq,GCF_008152015.1-RS_2024_05_04,04/05/2024,2411,2334,52,na
GCF_007833275.1,PRJNA224116,SAMN12388109,na,na,2599399,2599399,Salarchaeum sp. JOR-1,strain=JOR-1,na,latest,Complete Genome,Major,Full,05/08/2019,ASM783327v1,University of Maryland,GCA_007833275.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/833/275/GCF_007833275.1_ASM783327v1,na,na,na,haploid,archaea,2523371,2523371,66,2,2,2,NCBI RefSeq,GCF_007833275.1-RS_2024_08_16,16/08/2024,2696,2608,51,na
GCF_008033705.1,PRJNA224116,SAMN12569397,na,na,2603820,2603820,Methanothermobacter sp. KEPCO-1,strain=KEPCO-1,na,latest,Complete Genome,Major,Full,20/08/2019,ASM803370v1,Hanyang University,GCA_008033705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/033/705/GCF_008033705.1_ASM803370v1,na,na,na,haploid,archaea,1741029,1741029,48.5,1,1,1,NCBI RefSeq,GCF_008033705.1-RS_2024_08_16,16/08/2024,1877,1817,48,na
GCF_009914355.1,PRJNA224116,SAMN12650760,na,na,2606911,2606911,Methanothermobacter sp. THM-1,strain=THM-1,na,latest,Complete Genome,Major,Full,22/01/2020,ASM991435v1,Hanyang University,GCA_009914355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/914/355/GCF_009914355.1_ASM991435v1,na,na,na,haploid,archaea,1724502,1724502,48.5,1,1,1,NCBI RefSeq,GCF_009914355.1-RS_2024_08_16,16/08/2024,1883,1795,50,na
GCF_009917665.1,PRJNA224116,SAMN12650992,na,na,2606912,2606912,Methanothermobacter sp. THM-2,na,THM-2,latest,Complete Genome,Major,Full,23/01/2020,ASM991766v1,Hanyang University,GCA_009917665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/917/665/GCF_009917665.1_ASM991766v1,na,na,na,haploid,archaea,1697935,1697935,49,1,1,1,NCBI RefSeq,GCF_009917665.1-RS_2024_08_23,23/08/2024,1851,1743,49,na
GCF_003351865.1,PRJNA224116,SAMN07281457,na,na,2607662,2607662,Methanofervidicoccus sp. A16,strain=A16,na,latest,Complete Genome,Major,Full,01/08/2018,ASM335186v1,The Third Institute of State Oceanic Administration (SOA),GCA_003351865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/351/865/GCF_003351865.1_ASM335186v1,na,na,na,haploid,archaea,1504113,1504113,35,1,1,1,NCBI RefSeq,GCF_003351865.1-RS_2024_08_24,24/08/2024,1370,1321,44,na
GCF_032878975.1,PRJNA224116,SAMN12726561,na,na,2609417,2609417,Methanoplanus sp. FWC-SCC4,strain=FWC-SCC4,na,latest,Complete Genome,Major,Full,20/10/2023,ASM3287897v1,National Chung Hsing University,GCA_032878975.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/878/975/GCF_032878975.1_ASM3287897v1,na,na,na,haploid,archaea,2312530,2312530,40.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),22/10/2023,2316,2233,73,na
GCF_009617995.1,PRJNA224116,SAMN12757031,na,na,2610902,2610902,Halomicrobium sp. LC1Hm,strain=LC1Hm,na,latest,Complete Genome,Major,Full,07/11/2019,ASM961799v1,C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM),GCA_009617995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/617/995/GCF_009617995.1_ASM961799v1,na,na,na,haploid,archaea,3329031,3329031,65.5,2,2,2,NCBI RefSeq,GCF_009617995.1-RS_2024_08_12,12/08/2024,3455,3341,59,32759215
GCF_008831545.1,PRJNA224116,SAMN12860083,na,reference genome,2650975,2650975,Halorussus halophilus,strain=ZS-3,na,latest,Complete Genome,Major,Full,07/10/2019,ASM883154v1,Jiangsu University,GCA_008831545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/831/545/GCF_008831545.1_ASM883154v1,na,assembly from type material,na,haploid,archaea,4450731,4450731,61.5,4,4,4,NCBI RefSeq,GCF_008831545.1-RS_2024_07_29,29/07/2024,4484,4391,57,na
GCF_009601705.1,PRJNA224116,SAMN13151456,na,na,2663019,2663019,Sulfolobus sp. E5-1-F,strain=E5-1-F,na,latest,Complete Genome,Major,Full,06/11/2019,ASM960170v1,State Key Laboratory of Microbial Resources,GCA_009601705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/601/705/GCF_009601705.1_ASM960170v1,na,na,na,haploid,archaea,2543529,2543529,34.5,1,1,1,NCBI RefSeq,GCF_009601705.1-RS_2024_06_17,17/06/2024,2672,2483,51,31748395
GCF_009602405.1,PRJNA224116,SAMN13151875,na,na,2663020,2663020,Sulfolobus sp. E11-6,strain=E11-6,na,latest,Complete Genome,Major,Full,06/11/2019,ASM960240v1,State Key Laboratory of Microbial Resources,GCA_009602405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/602/405/GCF_009602405.1_ASM960240v1,na,na,na,haploid,archaea,2549580,2549580,35,1,1,1,NCBI RefSeq,GCF_009602405.1-RS_2024_06_17,17/06/2024,2799,2349,52,31748395
GCF_016906025.1,PRJNA224116,SAMN17385152,na,reference genome,2675099,2675099,Haloterrigena salifodinae,strain=BOL5-1,na,latest,Complete Genome,Major,Full,18/02/2021,ASM1690602v1,University of Maryland,GCA_016906025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/906/025/GCF_016906025.1_ASM1690602v1,na,na,na,haploid,archaea,5087240,5087240,64,6,6,6,NCBI RefSeq,GCF_016906025.1-RS_2024_05_06,06/05/2024,4983,4805,70,33958400
GCF_011602445.1,PRJNA224116,SAMN14351922,na,na,2716717,2716717,Haloarcula sp. JP-L23,strain=JP-L23,na,latest,Complete Genome,Major,Full,21/03/2020,ASM1160244v1,Jiangsu University,GCA_011602445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/602/445/GCF_011602445.1_ASM1160244v1,na,na,na,haploid,archaea,4930832,4930832,63.5,6,6,6,NCBI RefSeq,GCF_011602445.1-RS_2024_06_16,16/06/2024,5108,4846,56,27151192
GCF_018141185.1,PRJNA224116,SAMN14689430,na,reference genome,2731220,2731220,Methanobacterium alkalithermotolerans,strain=CAN,na,latest,Complete Genome,Major,Full,27/04/2021,ASM1814118v1,"Mediterranean Institute of Oceanography (MIO), UMR 7294",GCA_018141185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/141/185/GCF_018141185.1_ASM1814118v1,na,assembly from type material,na,haploid,archaea,2187077,2187077,36.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),27/11/2023,2195,2140,49,na
GCF_013267195.1,PRJNA224116,SAMN14979699,na,reference genome,2739057,2739057,Halorubrum salinarum,strain=RHB-C,na,latest,Complete Genome,Major,Full,04/06/2020,ASM1326719v1,Korea Research Institute of Bioscience & Biotechnology (KRIBB),GCA_013267195.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/267/195/GCF_013267195.1_ASM1326719v1,na,assembly from type material,na,haploid,archaea,3340250,3340250,68.5,3,3,3,NCBI RefSeq,GCF_013267195.1-RS_2024_05_06,06/05/2024,3378,3272,56,na
GCF_013402875.1,PRJNA224116,SAMN15183787,na,reference genome,2743089,2743089,Halorarum salinum,strain=NJ-3-1,na,latest,Complete Genome,Major,Full,12/07/2020,ASM1340287v1,Jiangsu University,GCA_013402875.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/402/875/GCF_013402875.1_ASM1340287v1,na,assembly from type material,na,haploid,archaea,4258755,4258755,68.5,2,2,2,NCBI RefSeq,GCF_013402875.1-RS_2024_05_12,12/05/2024,4318,4204,53,na
GCF_013401515.1,PRJNA224116,SAMN15183765,na,reference genome,2743090,2743090,Halorarum halophilum,strain=Gai3-2,na,latest,Complete Genome,Major,Full,11/07/2020,ASM1340151v1,Jiangsu University,GCA_013401515.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/401/515/GCF_013401515.1_ASM1340151v1,na,assembly from type material,na,haploid,archaea,4277959,4277959,67,4,4,4,NCBI RefSeq,GCF_013401515.1-RS_2024_05_06,06/05/2024,4351,4229,73,na
GCF_013391085.1,PRJNA224116,SAMN15354823,na,reference genome,2747817,2747817,Natronomonas halophila,strain=C90,na,latest,Complete Genome,Major,Full,07/07/2020,ASM1339108v1,Jiangsu University,GCA_013391085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/391/085/GCF_013391085.1_ASM1339108v1,na,assembly from type material,na,haploid,archaea,3211682,3211682,64.5,1,1,1,NCBI RefSeq,GCF_013391085.1-RS_2024_05_05,05/05/2024,3425,3370,50,na
GCF_014876775.1,PRJNA224116,SAMN16282219,na,reference genome,2776706,2776706,Infirmifilum lucidum,strain=3507LT,na,latest,Complete Genome,Major,Full,11/10/2020,ASM1487677v1,Winogradsky Institute of Microbiology,GCA_014876775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/876/775/GCF_014876775.1_ASM1487677v1,na,assembly from type material,na,haploid,archaea,1625846,1625846,54,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),15/11/2023,1824,1770,49,na
GCF_017094485.1,PRJNA224116,SAMN16483868,na,reference genome,2784880,2784880,Natranaeroarchaeum sulfidigenes,strain=AArc-S,na,latest,Complete Genome,Major,Full,01/03/2021,ASM1709448v1,C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM),GCA_017094485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/094/485/GCF_017094485.1_ASM1709448v1,na,assembly from type material,na,haploid,archaea,3041127,3041127,61,1,1,1,NCBI RefSeq,GCF_017094485.1-RS_2024_09_19,19/09/2024,3183,3094,57,na
GCF_009217585.1,PRJNA224116,SAMN13024714,na,na,2790029,2790029,Halomicrobium sp. ZPS1,strain=ZPS1,na,latest,Complete Genome,Major,Full,22/10/2019,ASM921758v1,UJS,GCA_009217585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/217/585/GCF_009217585.1_ASM921758v1,na,na,na,haploid,archaea,3094203,3094203,65.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),27/11/2023,3223,3128,55,na
GCF_018128925.1,PRJNA224116,SAMN17036201,na,na,2795383,2795383,Nitrosopumilus sp. K4,strain=K4,na,latest,Complete Genome,Major,Full,22/04/2021,ASM1812892v1,Korea Institute of Geoscience and Mineral Resources,GCA_018128925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/128/925/GCF_018128925.1_ASM1812892v1,na,na,na,haploid,archaea,1645909,1645909,35,1,1,1,NCBI RefSeq,GCF_018128925.1-RS_2024_08_25,25/08/2024,2018,1966,50,na
GCF_016917835.2,PRJNA224116,SAMN17798216,na,na,2810537,2810537,Halobacterium sp. BOL4-2,strain=BOL4-2,na,latest,Complete Genome,Major,Full,20/10/2021,ASM1691783v3,University of Maryland,GCA_016917835.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/917/835/GCF_016917835.2_ASM1691783v3,na,na,na,haploid,archaea,2447374,2447374,66.5,5,5,5,NCBI RefSeq,GCF_016917835.2-RS_2024_05_18,18/05/2024,2608,2514,52,34854697
GCF_016917855.1,PRJNA224116,SAMN17888196,na,na,2812551,2812551,Halobacterium sp. GSL-19,strain=GSL-19,na,latest,Complete Genome,Major,Full,22/02/2021,ASM1691785v1,University of Maryland,GCA_016917855.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/917/855/GCF_016917855.1_ASM1691785v1,na,na,na,haploid,archaea,2326224,2326224,66.5,3,3,3,NCBI RefSeq,GCF_016917855.1-RS_2024_05_15,15/05/2024,2472,2385,52,34264097
GCF_027563145.1,PRJNA224116,SAMN17983567,na,reference genome,2814576,2814576,Actinarchaeum halophilum,strain=YIM 93972,na,latest,Complete Genome,Major,Full,03/01/2023,ASM2756314v1,Institute of Microbiology,GCA_027563145.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/563/145/GCF_027563145.1_ASM2756314v1,na,assembly from type material,na,haploid,archaea,3748090,3748090,56.5,5,5,5,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/02/2024,3799,3712,59,na
GCF_017352155.2,PRJNA224116,SAMN18137898,na,reference genome,2816475,2816475,Haloterrigena alkaliphila,strain=KZCA68,na,latest,Complete Genome,Major,Full,19/10/2021,ASM1735215v2,Jiangsu University,GCA_017352155.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/352/155/GCF_017352155.2_ASM1735215v2,na,assembly from type material,na,haploid,archaea,4270687,4270687,65,3,3,3,NCBI RefSeq,GCF_017352155.2-RS_2024_05_12,12/05/2024,4204,4065,59,na
GCF_021184045.1,PRJNA224116,SAMN18869927,na,reference genome,2822137,2822137,Methanococcoides orientis,strain=LMO-1,na,latest,Complete Genome,Major,Full,14/12/2021,ASM2118404v1,Shanghai Jiao Tong University,GCA_021184045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/184/045/GCF_021184045.1_ASM2118404v1,na,assembly from type material,na,haploid,archaea,2494162,2494162,42.5,1,1,1,NCBI RefSeq,GCF_021184045.1-RS_2024_09_19,19/09/2024,2448,2346,81,na
GCF_019704315.1,PRJNA224116,SAMD00297278,na,reference genome,2824673,2824673,Stygiolobus caldivivus,strain=KN-1,na,latest,Complete Genome,Major,Full,11/06/2021,ASM1970431v1,Soka University,GCA_019704315.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/704/315/GCF_019704315.1_ASM1970431v1,na,assembly from type material,na,haploid,archaea,2958410,2958410,40,1,1,1,NCBI RefSeq,GCF_019704315.1-RS_2024_03_28,28/03/2024,2952,2839,51,34591670
GCF_018502485.1,PRJNA224116,SAMN19066137,na,na,2834276,2834276,Methanospirillum sp. J.3.6.1-F.2.7.3,strain=J.3.6.1-F.2.7.3,na,latest,Complete Genome,Major,Full,26/05/2021,ASM1850248v1,Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures,GCA_018502485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/502/485/GCF_018502485.1_ASM1850248v1,na,na,na,haploid,archaea,3524547,3524547,42,1,1,1,NCBI RefSeq,GCF_018502485.1-RS_2024_08_25,25/08/2024,3395,3304,71,na
GCF_018623055.1,PRJNA224116,SAMN19229075,na,na,2836432,2836432,Halorubrum sp. 2020YC2,strain=2020YC2,na,latest,Complete Genome,Major,Full,02/06/2021,ASM1862305v1,"Institute of Oceanology, Chinese Academy of Sciences",GCA_018623055.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/623/055/GCF_018623055.1_ASM1862305v1,na,na,na,haploid,archaea,3063515,3063515,68.5,1,1,1,NCBI RefSeq,GCF_018623055.1-RS_2024_05_12,12/05/2024,3078,2876,58,na
GCF_017094445.1,PRJNA224116,SAMN16484195,na,na,2841257,2841257,Halapricum desulfuricans,strain=HSR-Bgl,na,latest,Complete Genome,Major,Full,01/03/2021,ASM1709444v1,C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM),GCA_017094445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/094/445/GCF_017094445.1_ASM1709444v1,na,na,na,haploid,archaea,3078018,3078018,64,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),13/01/2024,3154,3023,55,na
GCF_019693215.1,PRJNA224116,SAMN20424635,na,na,2862870,2862870,Salinarchaeum sp. IM2453,strain=IM2453,na,latest,Complete Genome,Major,Full,19/08/2021,ASM1969321v1,Chinese academy of science,GCA_019693215.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/693/215/GCF_019693215.1_ASM1969321v1,na,na,na,haploid,archaea,2656678,2656678,47.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),20/09/2023,2541,2446,50,na
GCF_024972735.1,PRJNA224116,SAMN20589850,na,na,2866381,2866381,Halalkaliarchaeum sp. AArc-CO,strain=AArc-CO,na,latest,Complete Genome,Major,Full,06/09/2022,ASM2497273v1,C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM),GCA_024972735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/972/735/GCF_024972735.1_ASM2497273v1,na,na,na,haploid,archaea,3179131,3179131,63.5,2,2,2,NCBI RefSeq,GCF_024972735.1-RS_2024_05_12,12/05/2024,3174,3051,55,35132120
GCF_024972755.1,PRJNA224116,SAMN20590342,na,na,2866382,2866382,Halanaeroarchaeum sp. HSR-CO,strain=HSR-CO,na,latest,Complete Genome,Major,Full,06/09/2022,ASM2497275v1,C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM),GCA_024972755.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/972/755/GCF_024972755.1_ASM2497275v1,na,na,na,haploid,archaea,2787690,2787690,63.5,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),21/09/2023,2902,2826,52,35132120
GCF_023746595.1,PRJNA224116,SAMN20586767,na,reference genome,2866384,2866384,Thermococcus argininiproducens,strain=IOH2,na,latest,Complete Genome,Major,Full,16/06/2022,ASM2374659v1,Korea Institute of Ocean Science and Technology,GCA_023746595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/746/595/GCF_023746595.1_ASM2374659v1,na,assembly from type material,na,haploid,archaea,1946248,1946248,39.5,1,1,1,NCBI RefSeq,GCF_023746595.1-RS_2024_04_15,15/04/2024,2132,2068,52,na
GCF_023617305.1,PRJNA224116,SAMN20829081,na,na,2870563,2870563,Methanobrevibacter sp. TLL-48-HuF1,strain=TLL-48-HuF1,na,latest,Complete Genome,Major,Full,01/06/2022,ASM2361730v1,Temasek Life Sciences Laboratory,GCA_023617305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/617/305/GCF_023617305.1_ASM2361730v1,na,na,na,haploid,archaea,1951395,1951395,30.5,1,1,1,NCBI RefSeq,GCF_023617305.1-RS_2024_08_27,27/08/2024,1830,1765,44,na
GCF_019879105.1,PRJNA224116,SAMN20924712,na,na,2871694,2871694,Natrinema sp. SYSU A 869,strain=SYSU A 869,na,latest,Complete Genome,Major,Full,04/09/2021,ASM1987910v1,Nanyang Institute of Technology,GCA_019879105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/879/105/GCF_019879105.1_ASM1987910v1,na,na,na,haploid,archaea,5674674,5674674,61,3,3,3,NCBI RefSeq,GCF_019879105.1-RS_2024_05_12,12/05/2024,5608,4985,73,na
GCF_019880225.1,PRJNA224116,SAMN20957702,na,reference genome,2872158,2872158,Halobaculum rubrum,strain=C46,na,latest,Complete Genome,Major,Full,05/09/2021,ASM1988022v1,Jiangsu University,GCA_019880225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/880/225/GCF_019880225.1_ASM1988022v1,na,assembly from type material,na,haploid,archaea,3058052,3058052,68.5,2,2,2,NCBI RefSeq,GCF_019880225.1-RS_2024_05_12,12/05/2024,3111,3034,54,na
GCF_020885915.1,PRJNA224116,SAMD00404886,na,na,2874846,2874846,Candidatus Methanoliparum sp. LAM-1,strain=LAM-1,na,latest,Complete Genome,Major,Full,10/11/2021,ASM2088591v1,National Institute of Advanced Industrial Science and Technology (AIST),GCA_020885915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/885/915/GCF_020885915.1_ASM2088591v1,na,na,na,haploid,archaea,1254503,1254503,35.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),13/01/2024,1388,1329,51,na
GCF_020150815.1,PRJNA224116,SAMN21437237,na,reference genome,2876190,2876190,Haloprofundus salilacus,strain=Gai1-5,na,latest,Complete Genome,Major,Full,26/09/2021,ASM2015081v1,Jiangsu University,GCA_020150815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/150/815/GCF_020150815.1_ASM2015081v1,na,assembly from type material,na,haploid,archaea,3727714,3727714,64,2,2,2,NCBI RefSeq,GCF_020150815.1-RS_2024_05_06,06/05/2024,3778,3667,59,na
GCF_020097815.1,PRJNA224116,SAMN21437959,na,reference genome,2876193,2876193,Haloprofundus salinisoli,strain=SQT7-1,na,latest,Complete Genome,Major,Full,23/09/2021,ASM2009781v1,Jiangsu University,GCA_020097815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/097/815/GCF_020097815.1_ASM2009781v1,na,assembly from type material,na,haploid,archaea,3421753,3421753,64.5,3,3,3,NCBI RefSeq,GCF_020097815.1-RS_2024_05_12,12/05/2024,3530,3430,65,na
GCF_020097835.1,PRJNA224116,SAMN21437986,na,reference genome,2876194,2876194,Haloprofundus halobius,strain=SEDH52,na,latest,Complete Genome,Major,Full,23/09/2021,ASM2009783v1,Jiangsu University,GCA_020097835.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/097/835/GCF_020097835.1_ASM2009783v1,na,assembly from type material,na,haploid,archaea,3947132,3947132,64,5,5,5,NCBI RefSeq,GCF_020097835.1-RS_2024_05_06,06/05/2024,4072,3925,59,na
GCF_020405245.1,PRJNA224116,SAMN21590330,na,na,2878391,2878391,Halomicrobium salinisoli,strain=TH30,na,latest,Complete Genome,Major,Full,10/10/2021,ASM2040524v1,Jiangsu University,GCA_020405245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/405/245/GCF_020405245.1_ASM2040524v1,na,na,na,haploid,archaea,4146547,4146547,68,3,3,3,NCBI RefSeq,GCF_020405245.1-RS_2024_03_29,29/03/2024,4070,3959,65,na
GCF_020405205.1,PRJNA224116,SAMN21621845,na,reference genome,2878535,2878535,Natrinema salinisoli,strain=SLN56,na,latest,Complete Genome,Major,Full,10/10/2021,ASM2040520v1,Jiangsu University,GCA_020405205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/405/205/GCF_020405205.1_ASM2040520v1,na,assembly from type material,na,haploid,archaea,4704203,4704203,63,3,3,3,NCBI RefSeq,GCF_020405205.1-RS_2024_05_06,06/05/2024,4680,4550,63,na
GCF_020405225.1,PRJNA224116,SAMN21849512,na,na,2878680,2878680,Natrinema sp. DC36,strain=DC36,na,latest,Complete Genome,Major,Full,10/10/2021,ASM2040522v1,Jiangsu University,GCA_020405225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/405/225/GCF_020405225.1_ASM2040522v1,na,na,na,haploid,archaea,5097323,5097323,62,7,7,7,NCBI RefSeq,GCF_020405225.1-RS_2024_05_12,12/05/2024,5314,5093,63,na
GCF_020618475.1,PRJNA224116,SAMN22361724,na,reference genome,2884875,2884875,Haladaptatus halobius,strain=PSR5,na,latest,Complete Genome,Major,Full,26/10/2021,ASM2061847v1,Jiangsu University,GCA_020618475.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/618/475/GCF_020618475.1_ASM2061847v1,na,assembly from type material,na,haploid,archaea,7279389,7279389,57.5,9,9,9,NCBI RefSeq,GCF_020618475.1-RS_2024_07_29,29/07/2024,7750,7354,63,na
GCF_020614375.1,PRJNA224116,SAMN22363859,na,reference genome,2884876,2884876,Haladaptatus salinisoli,strain=PSR8,na,latest,Complete Genome,Major,Full,26/10/2021,ASM2061437v1,Jiangsu University,GCA_020614375.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/614/375/GCF_020614375.1_ASM2061437v1,na,assembly from type material,na,haploid,archaea,5035265,5035265,62,8,8,8,NCBI RefSeq,GCF_020614375.1-RS_2024_07_29,29/07/2024,5203,5061,59,na
GCF_021655615.1,PRJNA224116,SAMD00413987,na,na,2886040,2886040,Acidianus sp. HS-5,strain=HS-5,na,latest,Complete Genome,Major,Full,19/11/2021,ASM2165561v1,Soka university,GCA_021655615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/655/615/GCF_021655615.1_ASM2165561v1,na,na,na,haploid,archaea,2584028,2584028,35,1,1,1,NCBI RefSeq,GCF_021655615.1-RS_2024_05_21,21/05/2024,2907,2805,51,35175108
